col_name,raw_max,buffered_max,raw_min,buffered_min,raw_range,buffered_range,buffer_percent
pressure_surface,105760.0,106782.4,85312.0,84289.6,20448.0,22492.79999999999,0.05
pressure_reduced_to_mean_sea_level,105726.6953125,106388.63828125,92487.8359375,91825.89296875,13238.859375,14562.745312499988,0.05
geopotential_height_500hpa,6030.0,6093.608154296875,4757.8369140625,4694.228759765625,1272.1630859375,1399.37939453125,0.05
downward_long_wave_radiation_flux_surface,444.5306091308594,458.6857116699219,161.42857360839844,147.27347106933593,283.10205078125,311.41224060058596,0.05
downward_short_wave_radiation_flux_surface,892.0,936.6,0.0,-44.6,892.0,981.2,0.05
precipitation_surface,0.006175138521939516,0.0064838954480364915,0.0,-0.00030875692609697584,0.006175138521939516,0.006792652374133467,0.05
dew_point_temperature_2m,25.979591369628906,28.848213768005373,-31.39285659790039,-34.26147899627686,57.3724479675293,63.10969276428223,0.05
temperature_2m,39.418365478515625,42.34260005950928,-19.066326141357422,-21.990560722351074,58.48469161987305,64.33316078186036,0.05
wind_speed_10m_mps,70.0,100.0,0.0,0.0,70.0,100.0,0.05
wind_direction_10m_degrees,360.0,360.0,0.0,0.0,360.0,360.0,0.05
wind_speed_100m_mps,80.0,100.0,0.0,0.0,80.0,100.0,0.05
wind_direction_100m_degrees,360.0,360.0,0.0,0.0,360.0,360.0,0.05
